id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
63424,"Silica, crystalline (airborne particles of respirable size)",776,,2019-08-16,2019-08-16,
63425,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63426,"Silica, crystalline (airborne particles of respirable size)",776,,2019-08-16,2019-08-16,
63427,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63428,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63429,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63430,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63431,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63432,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63433,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63434,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63435,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63436,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63437,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63438,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63439,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63440,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63441,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63442,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63443,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63444,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63445,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63446,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63447,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63448,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63449,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63450,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63451,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63452,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63453,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63454,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63455,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63456,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63457,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63458,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63459,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,2019-08-16
63460,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63461,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63462,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63463,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63464,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63465,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63466,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63467,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
